date,total_cases,g_values
2020-12-25,329817748.0,
2020-12-26,332041519.0,0.6742423697587069
2020-12-27,335963202.0,1.181082116420507
2020-12-28,337621778.0,0.4936778760669152
2020-12-29,339453587.0,0.5425624528285021
2020-12-30,341580658.0,0.6266161506197311
2020-12-31,344278375.0,0.7897745193757428
2021-01-01,347003652.0,0.7915911070510891
2021-01-02,430486198.0,24.058117405634682
2021-01-03,476865404.0,10.773680135501115
2021-01-04,538539241.0,12.933174955170369
2021-01-05,631097849.0,17.186975609823758
2021-01-06,713459493.0,13.050534735699914
2021-01-07,759671801.0,6.4772153785050275
2021-01-08,825922069.0,8.720906569493685
2021-01-09,906405136.0,9.744632093127906
2021-01-10,971537392.0,7.185777464526636
2021-01-11,1027455520.0,5.755633129558435
2021-01-12,1094970203.0,6.5710565261258225
2021-01-13,381899652.0,-65.12237036645645
2021-01-14,384476531.0,0.6747529060330225
2021-01-15,387025106.0,0.6628688084995232
2021-01-16,389545480.0,0.6512171848613872
2021-01-17,395274029.0,1.4705725760185948
2021-01-18,397432228.0,0.5460007087892942
2021-01-19,399342968.0,0.4807712775623219
2021-01-20,401280235.0,0.4851135878771753
2021-01-21,403397878.0,0.5277217304261198
2021-01-22,405661934.0,0.5612463831552431
2021-01-23,407819916.0,0.5319656145010638
2021-01-24,413093354.0,1.2930800564433444
2021-01-25,414932859.0,0.44530007132479793
2021-01-26,416485013.0,0.3740735317373358
2021-01-27,418219761.0,0.41652111020859234
2021-01-28,420174711.0,0.467445630815135
2021-01-29,422195755.0,0.48100086632772143
2021-01-30,424140324.0,0.46058468778304035
2021-01-31,428869316.0,1.114959302949936
2021-02-01,349419009.0,-18.525528415280707
2021-02-02,431839265.0,23.587799712407747
2021-02-03,477993099.0,10.687734474538809
2021-02-04,540874109.0,13.155212937498916
2021-02-05,636454956.0,17.671551551379583
2021-02-06,714967845.0,12.335969460185963
2021-02-07,761222445.0,6.469465770170406
2021-02-08,827931223.0,8.763375073629103
2021-02-09,908963972.0,9.787376867655588
2021-02-10,973322914.0,7.080472272007718
2021-02-11,1028643106.0,5.683642212085022
2021-02-12,1097118998.0,6.65691449255676
2021-02-13,450621649.0,-58.9268210812625
2021-02-14,453706664.0,0.6846131353977625
2021-02-15,454898343.0,0.26265406584374085
2021-02-16,455959329.0,0.2332358462778573
2021-02-17,457165881.0,0.2646183383606128
2021-02-18,458494560.0,0.2906338935647737
2021-02-19,459880114.0,0.30219638810981747
2021-02-20,461262115.0,0.30051332030416955
2021-02-21,464213253.0,0.639796311908252
2021-02-22,465454751.0,0.2674413089192867
2021-02-23,466559312.0,0.2373079225482006
2021-02-24,467813850.0,0.26889142874936334
2021-02-25,469327805.0,0.32362338139411645
2021-02-26,470879663.0,0.3306554573300851
2021-02-27,472419944.0,0.32710714032260085
2021-02-28,475568205.0,0.6664115349033614
